acknowledgment,questions,exchanges,lateness,complaints
obrigado,procurar,comprar,comprar,comprar
obrigada,procurando,comprei,comprei,comprei
agradecer,conseguir,aguardar,aguardar,aguardar
agradecemos,consigo,aguardo,aguardo,aguardo
gentileza,conseguindo,trocar,entregar,solucionar
gentil,querer,troquei,entrega,solução
gentis,quero,trocamos,entregue,atrasar
satisfação,queria,querer,atrasar,atraso
satisfeito,saber,quero,atrasado,atrasada
satisfeita,saberia,cancelar,atrasada,atrasado
ótimo,parcelar,cancelamento,atraso,providenciar
bom,parcela,fazer,dias,providências
gostar,parcelas,funcionar,dia,reclamar
gostei,renovar,funciona,prazo,reclamação
gostando,renovada,funcionando,chegar,procon
gostamos,renovação,resolver,chegou,reclameaqui
parabéns,acessar,errado,acontecer,querer
NULL,acesso,outro,aconteceu,quero
NULL,fazer,NULL,fiz,cancelar
NULL,cadastrar,NULL,cofirmado,cancelamento
NULL,cadastro,NULL,tentativa,NULL
NULL,cadastrei,NULL,NULL,NULL
NULL,rastrear,NULL,NULL,NULL
NULL,rastramento,NULL,NULL,NULL
NULL,rastreio,NULL,NULL,NULL
